draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
455,1992-08-26,1992,8,26,3666,1281,3797,9169,265,3262,9897,1114,5603,4673,106,992,7711,,,,,,,,,,
456,1992-08-27,1992,8,27,7587,2822,5002,6016,9121,423,7854,5980,1250,2257,4845,4440,4389,,,,,,,,,,
457,1992-08-30,1992,8,30,3237,1540,7078,8157,9506,8992,9754,4058,2904,5011,3205,4515,290,,,,,,,,,,
458,1992-09-02,1992,9,2,9244,3176,4174,563,662,8311,1712,2162,2055,3454,5958,245,2764,,,,,,,,,,
459,1992-09-03,1992,9,3,8264,2383,790,1587,6599,4666,8140,1140,6897,14,6125,1918,9158,,,,,,,,,,
460,1992-09-06,1992,9,6,8095,8601,1154,840,3300,7743,4283,6949,612,3937,69,6629,6638,,,,,,,,,,
461,1992-09-09,1992,9,9,3859,3673,8533,5438,1004,3271,2822,908,4317,5606,7537,1372,2790,,,,,,,,,,
462,1992-09-10,1992,9,10,6421,6033,3347,8861,8621,4699,6993,6783,5230,516,9542,2039,4590,,,,,,,,,,
463,1992-09-13,1992,9,13,1885,7458,315,8851,5755,9446,6966,445,2965,6899,5662,2625,8921,,,,,,,,,,
464,1992-09-16,1992,9,16,9480,3682,9223,7717,4862,751,6728,1290,6930,3667,7193,3280,4531,,,,,,,,,,
465,1992-09-17,1992,9,17,6846,1707,1573,5884,3817,2462,181,6657,9244,8994,9543,3101,9041,,,,,,,,,,
466,1992-09-20,1992,9,20,8642,1639,7107,917,9024,9573,3712,3321,9021,5059,2605,2537,8687,,,,,,,,,,
467,1992-09-23,1992,9,23,5117,8471,8826,5317,5239,7228,3785,3885,2339,6398,5653,8730,2041,,,,,,,,,,
468,1992-09-24,1992,9,24,3354,5481,1199,3586,4549,9804,263,3192,1133,1568,9436,5777,5242,,,,,,,,,,
469,1992-09-27,1992,9,27,4994,1275,7887,2512,4038,1270,561,6131,4809,1808,6016,7447,1185,,,,,,,,,,
470,1992-09-30,1992,9,30,753,2700,9616,6773,346,9077,4865,6775,1294,2335,2247,6033,4936,,,,,,,,,,
471,1992-10-01,1992,10,1,6706,2055,6342,5275,2177,2514,1389,150,6902,1609,5695,5782,3481,,,,,,,,,,
472,1992-10-04,1992,10,4,2649,3573,1825,1244,8030,8341,32,4501,4482,4180,8427,5889,2089,,,,,,,,,,
473,1992-10-07,1992,10,7,2837,5357,9634,5416,55,4603,1110,509,1365,6587,9317,7478,2948,,,,,,,,,,
474,1992-10-08,1992,10,8,4296,7999,3865,2432,3642,9337,9295,2128,2337,968,8492,6569,9736,,,,,,,,,,
475,1992-10-11,1992,10,11,7461,1514,1532,4567,3238,4151,873,8867,2267,7085,5732,9433,4230,,,,,,,,,,
476,1992-10-14,1992,10,14,6536,2883,4976,4288,5774,801,7268,3391,2825,6310,1359,3686,5777,,,,,,,,,,
477,1992-10-15,1992,10,15,6460,7402,1408,1705,9610,1853,6326,6936,6271,998,8408,8686,4376,,,,,,,,,,
478,1992-10-18,1992,10,18,3680,3569,9746,4204,1545,2398,3056,5849,6489,2512,3080,9116,8121,,,,,,,,,,
479,1992-10-21,1992,10,21,7942,1251,794,7967,7838,41,5880,3096,524,6129,870,6935,1087,,,,,,,,,,
480,1992-10-22,1992,10,22,7817,5672,7020,853,6224,8255,8875,8250,5756,1543,1770,1679,4668,,,,,,,,,,
481,1992-10-25,1992,10,25,63,8224,3309,2392,2750,8047,9898,1761,9510,8041,1621,2498,8267,,,,,,,,,,
482,1992-10-28,1992,10,28,9200,6116,3757,9617,9652,8838,3564,4644,8010,9320,8808,8275,5497,,,,,,,,,,
483,1992-10-29,1992,10,29,8997,7829,3023,9962,5599,7673,5935,4248,6621,8283,2933,3304,812,,,,,,,,,,
484,1992-11-01,1992,11,1,6616,3463,4331,4196,5771,6948,8055,3368,3223,8513,2911,9531,3332,,,,,,,,,,
485,1992-11-04,1992,11,4,7207,4678,119,4782,7590,9586,4806,7050,3923,6335,9204,2289,5019,,,,,,,,,,
486,1992-11-05,1992,11,5,6825,8206,9852,1430,1422,5660,5462,3006,2208,4925,9934,1082,306,,,,,,,,,,
487,1992-11-08,1992,11,8,1367,9113,9992,5207,1194,8253,4201,2256,9067,1933,7827,2192,2966,,,,,,,,,,
488,1992-11-11,1992,11,11,109,7617,2392,8981,7419,7997,8559,5530,8945,8844,2262,6495,389,,,,,,,,,,
489,1992-11-12,1992,11,12,711,4255,4153,981,7321,493,1972,845,5005,8541,7412,1878,2383,,,,,,,,,,
490,1992-11-15,1992,11,15,8333,1439,647,9993,7587,8863,869,4647,539,3707,375,6770,6514,,,,,,,,,,
491,1992-11-18,1992,11,18,9410,6805,1449,5994,7151,774,156,7643,3563,3848,3915,9002,1718,,,,,,,,,,
492,1992-11-19,1992,11,19,3826,4064,4121,9291,2432,3225,7602,222,9442,2767,1148,3439,7148,,,,,,,,,,
493,1992-11-22,1992,11,22,4293,9186,6214,6335,6865,7941,5117,4256,758,7233,2255,3195,1915,,,,,,,,,,
494,1992-11-25,1992,11,25,668,9049,9605,6171,3453,2138,7394,2867,6589,525,9661,7634,6649,,,,,,,,,,
495,1992-11-26,1992,11,26,5078,9627,1351,6151,3195,6823,8002,3201,2917,8959,1083,6310,5839,,,,,,,,,,
496,1992-11-29,1992,11,29,5393,5913,9341,5773,2380,7893,997,5262,6618,3790,1993,2535,2402,,,,,,,,,,
497,1992-12-02,1992,12,2,1409,7202,11,6539,9684,898,8560,6919,4150,419,3788,2420,9849,,,,,,,,,,
498,1992-12-03,1992,12,3,448,357,1042,1341,6660,572,6809,7889,1601,1082,8715,6966,4944,,,,,,,,,,
499,1992-12-06,1992,12,6,8048,7125,4813,2827,4912,7903,1162,2017,155,2415,1713,5261,3285,,,,,,,,,,
500,1992-12-09,1992,12,9,1038,9595,5756,4132,9657,7781,2410,4429,7568,5274,4064,3915,7791,,,,,,,,,,
501,1992-12-10,1992,12,10,6098,3306,625,8216,229,6799,4473,6346,6349,5999,4162,4932,1811,,,,,,,,,,
502,1992-12-13,1992,12,13,5954,1218,3491,8747,3657,3362,6573,2609,6794,9879,8912,8679,6640,,,,,,,,,,
503,1992-12-16,1992,12,16,3548,4522,9887,3988,3036,2515,8507,2847,8547,8119,2886,1192,6981,,,,,,,,,,
504,1992-12-17,1992,12,17,2965,2504,1062,6495,552,3214,8153,7363,2373,9326,4551,8786,4832,,,,,,,,,,
505,1992-12-20,1992,12,20,6714,9071,2305,7801,8888,1111,5942,9239,1933,4916,220,1754,4431,,,,,,,,,,
506,1992-12-23,1992,12,23,380,7181,3423,4292,8092,5192,8567,39,9834,2813,5520,3845,7517,,,,,,,,,,
